,h111,bx111,hx111,by111,hy111,h121,bx121,hx121,by121,hy121,h131,bx131,hx131,by131,hy131,h141,bx141,hx141,by141,hy141,h151,bx151,hx151,h211,bx211,hx211,by211,hy211,h221,bx221,hx221,by221,hy221,h231,bx231,hx231,by231,hy231,h241,bx241,hx241,by241,hy241,h251,bx251,hx251,h311,bx311,hx311,by311,hy311,h321,bx321,hx321,by321,hy321,h331,bx331,hx331,by331,hy331,h341,bx341,hx341,by341,hy341,h351,bx351,hx351,h411,by411,hy411,h421,by421,hy421,h431,by431,hy431,h441,by441,hy441,h451,h112,bx112,hx112,by112,hy112,h122,bx122,hx122,by122,hy122,h132,bx132,hx132,by132,hy132,h142,bx142,hx142,by142,hy142,h152,bx152,hx152,h212,bx212,hx212,by212,hy212,h222,bx222,hx222,by222,hy222,h232,bx232,hx232,by232,hy232,h242,bx242,hx242,by242,hy242,h252,bx252,hx252,h312,bx312,hx312,by312,hy312,h322,bx322,hx322,by322,hy322,h332,bx332,hx332,by332,hy332,h342,bx342,hx342,by342,hy342,h352,bx352,hx352,h412,by412,hy412,h422,by422,hy422,h432,by432,hy432,h442,by442,hy442,h452
89,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.7,0.49999999999999994,0.39999999999999997,0.5,0.39999999999999997,0.7,0.49999999999999994,0.39999999999999997,0.5,0.39999999999999997,0.7,0.49999999999999994,0.39999999999999997,0.5,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.7,0.49999999999999994,0.39999999999999997,0.5,0.39999999999999997,0.7,0.49999999999999994,0.39999999999999997,0.5,0.39999999999999997,0.7,0.49999999999999994,0.39999999999999997,0.5,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.7,0.49999999999999994,0.39999999999999997,0.5,0.39999999999999997,0.7,0.49999999999999994,0.39999999999999997,0.5,0.39999999999999997,0.7,0.49999999999999994,0.39999999999999997,0.5,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.7,0.49999999999999994,0.39999999999999997,0.5,0.39999999999999997,0.7,0.49999999999999994,0.39999999999999997,0.5,0.39999999999999997,0.7,0.49999999999999994,0.39999999999999997,0.5,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.7,0.39999999999999997
90,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997
91,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.5,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.5,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.5,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.5,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.5,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.5,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.5,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.5,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997
92,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.5,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.5,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.5,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.5,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.5,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.5,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.5,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.5,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.5,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997
93,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997
94,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.55,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.55,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.55,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.55,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.55,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.55,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.55,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.55,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997
95,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.55,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.55,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.55,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.55,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.55,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.55,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.55,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.55,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.55,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997
96,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997
97,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.6,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.6,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.6,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.6,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.6,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.6,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.6,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.6,0.44999999999999996,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997
98,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.6,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.6,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.6,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.6,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.6,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.6,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.6,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.6,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997
99,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.39999999999999997
